Name,Age,Lat,Lon
HS3,1310,52.04,0.18
HS1,1334,52.04,0.18
HS2,1369,52.04,0.18
O1,1580,52.26,0.07
O4,1600,52.26,0.07
O3,1605,52.26,0.07
O2,1615,52.26,0.07
HI2,1920,52.04,0.18
HI1,1974,52.04,0.18
L,2050,52.10,0.28
SVP56,2395,52.43,51.16
RISE276,2809,55.91,11.57
HAL36C,3128,51.89,11.04
HUNG381_BR2,3281,47.82,19.95
RISE175,3410,55.40,13.60
RISE210,3447,56.00,14.10
RISE512,3461,85.45,53.46
RISE47,3514,56.97,9.55
Rathlin3,3534,55.29,-6.19
ATP9,3568,42.22,3.30
Rathlin2,3741,55.29,-6.19
RISE503,3742,53.46,85.45
RISE247,3761,47.33,18.96
RISE505,3761,53.46,85.45
SVP32,3865,53.12,48.37
SVP25,3865,53.14,50.01
SVP26,3865,53.14,50.01
SVP29,3865,53.08,50.36
SVP39,3865,53.08,50.36
SVP40,3865,53.08,50.36
SVP7,3865,53.03,50.39
SVP8,3865,53.03,50.39
SVP9,3865,53.03,50.39
SVP30,3865,52.54,50.50
SVP31,3865,52.54,50.50
SVP12,3865,48.10,54.44
RISE374,3881,46.22,20.20
Rathlin1,3885,55.29,-6.19
RISE150,3900,50.92,16.96
RISE373,3901,46.22,20.20
SVP6,3928,53.03,50.39
RISE154,3940,50.95,16.94
ESP3,3946,51.42,11.68
RISE394,3964,52.45,55.16
RISE109,3969,50.98,17.07
RISE395,3975,52.64,59.54
Palaeo-Eskimo,4000,69.25,-53.53
ATP20,4000,42.22,3.30
RISE179,4025,55.40,13.60
QUEVIII6,4027,51.79,11.14
SVP1,4031,53.03,50.39
HAL16,4037,51.89,11.04
RISE97,4040,55.56,13.06
RISE349,4049,46.36,20.99
EUL41,4130,51.17,11.85
ESP4,4133,51.42,11.68
RISE391,4135,50.59,56.83
SVP24,4140,53.17,50.28
RISE392,4141,53.88,59.08
RISE254,4143,47.33,18.96
ESP2,4146,51.42,11.68
EUL57,4146,51.17,11.85
RISE486,4149,45.26,10.38
RISE371,4151,46.22,20.20
HUNG370_BR1,4209,47.17,20.83
RISE71,4211,56.68,10.03
ESP29,4214,51.42,11.68
SVP27,4215,53.17,50.28
SVP41,4215,53.17,50.28
BZH12,4219,51.82,10.91
RISE98,4290,55.38,13.45
BZH6,4301,51.82,10.91
RISE431,4301,52.14,16.54
QUEXII4,4305,51.79,11.14
ROT3,4309,51.45,11.54
QLB28,4311,51.79,11.14
RISE386,4313,52.45,55.16
QUEXII6,4355,51.79,11.14
ROT1,4360,51.45,11.54
QLB26,4375,51.79,11.15
ROT4,4429,51.45,11.54
ESP22,4469,51.42,11.68
ESP26,4469,51.42,11.68
ALB3,4474,51.45,11.63
ESP11,4488,51.42,11.68
ROT6,4512,51.45,11.54
BZH15,4515,51.82,10.91
BZH2,4515,51.82,10.91
ESP17,4515,51.42,11.68
ESP20,4515,51.42,11.68
ESP28,4515,51.42,11.68
ESP32,4515,51.42,11.68
ESP33,4515,51.42,11.68
ESP36,4515,51.42,11.68
ESP8,4515,51.42,11.68
KAR22A,4579,51.27,11.66
ESP16,4581,51.42,11.68
ESP25,4588,51.42,11.68
Ajvide58,4600,57.30,18.33
ATP2,4628,42.22,3.30
RISE94,4636,56.03,14.23
Gökhem2,4750,58.17,13.41
MIR1,4775,42.33,-3.50
MIR11,4775,42.33,-3.50
MIR13,4775,42.33,-3.50
MIR17,4775,42.33,-3.50
MIR19,4775,42.33,-3.50
MIR21,4775,42.33,-3.50
MIR22,4775,42.33,-3.50
MIR24,4775,42.33,-3.50
MIR25,4775,42.33,-3.50
MIR26,4775,42.33,-3.50
Kum4,4800,41.35,36.64
ESP14,4815,51.42,11.68
SVP16_NIK7,4815,49.97,44.67
ATP17,4821,42.22,3.30
ATP12-1420,4829,42.22,3.30
RISE446,4844,50.01,10.18
MIR14,4845,42.33,-3.50
RISE552,4864,46.62,43.33
ATP16,4866,42.22,3.30
RISE61,4866,55.70,11.86
RISE510,4866,54.58,90.78
RISE555,4872,48.72,44.50
RISE435,4878,48.93,12.26
SVP51,4882,53.31,51.15
RISE436,4883,48.93,12.26
SVP11,4890,53.34,50.34
ATP7,4894,42.22,3.30
MIR2,4895,42.33,-3.50
RISE434,4895,48.93,12.26
RISE240,4895,46.58,43.68
SVP53,4900,53.74,49.38
RISE547,4902,46.54,43.70
RISE509,4902,54.58,90.78
MIR18,4910,42.33,-3.50
HUNG353_CO1,4918,47.17,19.83
RISE489,4923,45.26,10.38
RISE511,4924,54.58,90.78
SVP3,4925,52.42,48.24
SVP42,4940,53.66,50.67
Ballynahatty,5020,54.54,-5.96
MIR5_MIR6,5025,42.33,-3.50
SVP54,5025,52.30,52.05
SVP50,5036,53.38,50.38
SVP5,5105,53.38,50.39
ATP3,5312,42.22,3.30
SVP57,5315,53.38,50.38
SVP58,5315,53.10,51.13
SVP10,5315,51.27,58.18
SVP52,5320,53.38,50.39
RISE507,5337,51.50,85.97
RISE508,5346,51.50,85.97
RISE550,5349,46.56,43.68
SVP38,5354,53.38,50.39
Otzi,5374,46.78,10.83
ESP24,5375,51.42,11.68
SALZ3B,5415,51.52,11.85
RISE487,5498,45.26,10.38
QLB18A,5655,51.79,11.14
QLB15D,5660,51.79,11.14
ESP30,5902,51.42,11.68
Mina18,5915,41.25,-2.33
Mina3,5915,41.25,-2.33
Mina4,5915,41.25,-2.33
Mina6,5915,41.25,-2.33
HUNG347_NE7,6506,47.17,19.83
Kum6,6700,41.35,36.64
LaBraña-Arintero,7000,42.61,-5.57
Stuttgart,7015,48.78,9.18
UzOO40,7015,61.65,35.65
HAL4,7047,51.89,11.04
HAL24,7049,51.90,11.05
HAL2,7094,51.89,11.04
Troc4,7192,42.50,0.50
Troc3,7193,42.50,0.50
SVP35,7215,52.22,48.10
SVP46,7215,52.22,48.10
SVP47,7215,52.22,48.10
HAL14,7221,51.89,11.04
HAL25,7221,51.89,11.04
HAL5,7221,51.89,11.04
HUNG352_NE6,7221,47.17,19.83
HAL34,7222,51.89,11.04
KAR6,7222,51.27,11.66
UWS4,7224,51.66,11.53
SZEH4,7225,46.40,18.74
PF839-1198_NE4,7226,47.88,21.19
HUNG86_NE3,7296,48.52,21.17
HUNG302_NE2,7306,47.52,21.59
HUNG372_NE5,7310,47.17,20.83
Troc7,7318,42.50,0.50
PF325_NE1,7321,47.88,21.19
Troc5,7325,42.50,0.50
Troc1,7326,42.50,0.50
LBK1976,7515,48.78,9.18
LBK1992,7515,48.78,9.18
LBK2155,7515,48.78,9.18
HAL19,7515,51.89,11.04
KAR16A,7515,51.28,11.65
UzOO74,7515,61.65,35.65
SVP44,7665,53.40,50.40
BAM25,7725,46.20,18.70
HUNG276_KO2,7728,47.32,21.53
HUNG345a_KO1,7796,47.93,21.20
Motala1,7913,58.54,15.05
Motala12,7913,58.54,15.05
Motala2,7913,58.54,15.05
Motala3,7913,58.54,15.05
Motala4,7913,58.54,15.05
Motala6,7913,58.54,15.05
LB1,7955,42.91,-5.38
Loschbour,8235,49.81,6.40
BAR2_L11-213,8415,40.30,29.57
BAR20_M13-170,8415,40.30,29.57
BAR26_M10-76,8415,40.30,29.57
BAR271_M10-271,8415,40.30,29.57
BAR6_L11-439,8415,40.30,29.57
BAR99_M10-352,8415,40.30,29.57
L11-215,8415,40.30,29.57
L11-216,8415,40.30,29.57
L11-322,8415,40.30,29.57
L11-S-488,8415,40.30,29.57
L12-502,8415,40.30,29.57
L14-200,8415,40.30,29.57
M10-275,8415,40.30,29.57
M11-351,8415,40.30,29.57
M11-352a,8415,40.30,29.57
M11-354,8415,40.30,29.57
M11-363,8415,40.30,29.57
M11-59,8415,40.30,29.57
M11-S-350,8415,40.30,29.57
M13-72,8415,40.30,29.57
L12-393,8515,40.30,29.57
Kotias,9529,42.40,43.55
