Name,Age,Lat,Lon,Number,,,
KennewickMan,8400,46.2,-119.16,1,,40.3,29.57
Clovis-Anzick1,12707,45.99,-110.66,1,,42.33,-3.5
Palaeo-Eskimo,4000,69.25,-53.53,1,,51.42,11.68
Rathlin1,3885,55.29,-6.89,1,,53.03,50.39
Rathlin2,3741,55.69,-6.19,1,,58.54,15.05
Ballynahatty,5020,54.54,-5.96,1,,41.25,-2.33
Rathlin3,3534,55.29,-5.89,1,,52.26,0.07
LaBrana-Arintero,7000,42.61,-6.07,1,,42.22,3.3
LB1,7955,42.91,-5.38,1,,51.89,11.04
MIR1,4775,42.33,-3.5,10,,42.33,-3.5
MIR14,4845,42.03,-3.8,3,,51.79,11.14
MIR5_MIR6,5025,42.33,-3.3,1,,52.04,0.18
Mina18,5915,41.25,-2.33,4,,42.5,0.5
O1,1580,52.66,0.07,4,,48.78,9.18
HS3,1310,52.04,-0.68,3,,48.93,12.26
HI2,1920,52.04,0.58,2,,51.45,11.54
L,2050,51.7,0.28,1,,52.22,48.1
Troc7,7318,42.5,-0.5,3,,53.38,50.38
Troc4,7192,42.5,0.5,2,,54.58,90.78
ATP17,4821,42.52,2.8,4,,51.82,10.91
ATP20,4000,41.82,3.1,1,,52.04,0.18
ATP2,4628,41.82,1.8,1,,51.89,11.04
ATP3,5312,42.82,3.3,1,,51.82,10.91
ATP9,3568,42.22,3.5,1,,42.5,0.5
Loschbour,8235,49.81,6.4,1,,51.79,11.14
Bichon_HG,13560,47.15,6.84,1,,51.45,11.54
LBK1976,7515,48.78,8.68,3,,51.42,11.68
Stuttgart,7015,48.78,9.18,1,,51.42,11.68
RISE47,3514,56.97,9.05,1,,51.17,11.85
RISE71,4211,56.68,10.03,1,,46.22,20.2
RISE446,4844,50.01,10.18,1,,47.88,21.19
RISE489,4923,45.86,10.38,1,,53.17,50.28
RISE487,5498,45.26,10.58,1,,53.03,50.39
RISE486,4149,45.26,9.78,1,,53.38,50.38
Otzi,5374,46.78,10.83,1,,52.54,50.5
RISE276,2809,55.91,11.57,1,,49.81,6.4
ROT4,4429,51.45,11.54,13,,42.22,3.3
QUEXII4,4305,51.79,9.24,6,,42.91,-5.38
HAL14,7221,52.29,12.04,6,,46.2,-119.16
ESP16,4581,51.22,10.78,5,,42.33,-3.5
EUL41,4130,51.17,10.85,4,,45.26,10.38
ESP3,3946,51.42,11.88,3,,51.89,11.04
HAL4,7047,52.89,11.04,3,,45.99,-110.66
RISE435,4878,48.93,12.26,3,,51.89,11.04
BZH12,4219,51.82,10.91,2,,51.5,85.97
ESP14,4815,51.42,11.48,2,,42.22,3.3
SALZ3B,5415,52.52,10.85,2,,45.26,10.38
QLB18A,5655,52.79,10.14,2,,54.54,-5.96
HAL19,7515,51.89,11.24,2,,42.61,-5.57
HAL36C,3128,51.89,11.04,1,,55.29,-6.19
ESP30,5902,51.62,11.68,1,,56.68,10.03
Motala1,7913,58.54,15.05,6,,51.27,11.66
RISE97,4040,55.56,13.06,1,,51.89,11.04
Gí_khem2,4750,58.17,13.41,1,,51.9,11.05
RISE98,4290,55.38,13.45,1,,51.79,11.14
RISE175,3410,55.4,13.6,1,,55.91,11.57
RISE179,4025,55.4,13.6,1,,51.66,11.53
RISE210,3447,56,14.1,1,,51.28,11.65
RISE94,4636,56.03,14.23,1,,51.27,11.66
RISE431,4301,52.14,16.54,1,,51.42,11.68
RISE154,3940,50.95,16.94,3,,51.42,11.68
Ajvide58,4600,57.3,18.33,1,,51.52,11.85
HUNG352_NE6,7221,46.17,19.63,7,,55.4,13.6
RISE247,3761,47.33,18.96,3,,55.38,13.45
RISE349,4049,46.36,20.99,3,,57.3,18.33
BAM25,7725,46.2,18.7,3,,55.7,11.86
HUNG381_BR2,3281,47.82,19.95,1,,56.03,14.23
HUNG370_BR1,4209,46.87,20.83,1,,50.98,17.07
HUNG353_CO1,4918,47.17,19.83,1,,56,14.1
HUNG347_NE7,6506,47.37,20.63,1,,55.4,13.6
BAR2_L11-213,8415,40.3,29.57,21,,47.17,19.83
UzOO40,7015,61.25,35.05,1,,47.82,19.95
UzOO74,7515,61.85,35.65,1,,47.17,19.83
Kum4,4800,41.65,36.04,1,,47.17,20.83
Kum6,6700,41.35,36.64,1,,46.22,20.2
Mota,4418,6.66,38.12,1,,47.17,20.83
Kostenki14,38700,51.4,39.03,1,,46.36,20.99
Satsurblia,13132,42.31,42.68,1,,48.52,21.17
Kotias,9529,42.4,43.55,1,,47.32,21.53
SVP7,3865,53.03,51.89,9,,49.97,44.67
SVP35,7215,52.02,47.6,3,,6.66,38.12
SVP27,4215,53.17,49.28,3,,46.62,43.33
SVP57,5315,52.58,50.68,3,,46.58,43.68
SVP50,5036,53.38,50.38,2,,46.54,43.7
SVP1,4031,53.03,50.39,2,,48.72,44.5
SVP30,3865,53.04,50.5,2,,53.74,49.38
RISE240,4895,46.08,43.68,1,,47.52,21.59
RISE547,4902,46.54,44.3,1,,61.65,35.65
RISE550,5349,46.56,42.88,1,,61.65,35.65
RISE552,4864,47.02,43.33,1,,47.93,21.2
RISE555,4872,48.72,44.5,1,,41.35,36.64
SVP16_NIK7,4815,49.97,44.67,1,,41.35,36.64
SVP3,4925,52.42,48.24,1,,51.4,39.03
SVP53,4900,53.74,49.38,1,,42.31,42.68
SVP11,4890,54.34,50.34,1,,46.56,43.68
SVP42,4940,54.06,51.07,1,,53.17,50.28
SVP58,5315,54,52.03,1,,53.34,50.34
SVP51,4882,53.31,51.15,1,,53.4,50.4
SVP56,2395,53.23,52.36,1,,53.66,50.67
SVP44,7665,54.5,51,1,,52.42,48.24
SVP54,5025,52.3,52.05,1,,53.1,51.13
RISE512,3461,85.45,53.46,1,,53.31,51.15
SVP12,3865,48.1,54.44,1,,52.43,51.16
RISE394,3964,52.45,55.16,1,,85.45,53.46
RISE386,4313,52.45,55.16,1,,52.3,52.05
RISE391,4135,50.59,56.83,1,,48.1,54.44
SVP10,5315,51.27,58.18,1,,52.45,55.16
RISE392,4141,53.88,59.08,1,,52.45,55.16
RISE395,3975,52.64,59.54,1,,50.59,56.83
Ust-Ishim,45000,57.69,71.13,1,,51.27,58.18
Denisovan,30000,52.77,81.72,1,,52.64,59.54
Altai_Neanderthal,50000,52.77,82.62,1,,53.88,59.08
RISE503,3742,53.46,85.45,2,,57.69,71.13
RISE507,5337,51.5,85.97,2,,52.77,82.62
RISE510,4866,54.58,90.78,3,,52.77,82.62
Mal-ta,24000,54.01,103.05,1,,54.01,103.05
AusAboriginal,100,30.85,121.65,1,,30.85,121.65
