Name,Age,Lon,Lat,Site,Haplogroup,,,,,,,,
ACAD11154,509,-76.79964,-12.203675,Pueblo Viejo Inca,C1b,,,,,,,,
ACAD11157,509,-76.79964,-12.203675,Pueblo Viejo Inca,C1b,,,,,,,,
ACAD11161,509,-76.79964,-12.203675,Pueblo Viejo Inca,C1b,,,,,,,,
ACAD11165,509,-76.79964,-12.203675,Pueblo Viejo Inca,B2,,,,,,,,
ACAD11168,509,-76.79964,-12.203675,Pueblo Viejo Inca,B2,,,,,,,,
ACAD11173,509,-76.79964,-12.203675,Pueblo Viejo Inca,B2,,,,,,,,
ACAD11176,509,-76.79964,-12.203675,Pueblo Viejo Inca,B2,,,,,,,,
ACAD11180,509,-76.79964,-12.203675,Pueblo Viejo Inca,D1,,,,,,,,
ACAD11182,509,-76.79964,-12.203675,Pueblo Viejo Inca,B2,,,,,,,,
ACAD11183,509,-76.79964,-12.203675,Pueblo Viejo Inca,C1c,,,,,,,,
ACAD11185,509,-76.79964,-12.203675,Pueblo Viejo Inca,D1,,,,,,,,
ACAD6320,539,-68.529569,-24.720314,Llullaillaco Inca,D1,,,,,,,,
ACAD6322,539,-68.529569,-24.720314,Llullaillaco Inca,C1b,,,,,,,,
SSN1,550,-71.935533,-13.531568,San Sebastian,A2,,,,,,,,
SSN5,550,-71.935533,-13.531568,San Sebastian,C1b,,,,,,,,
ACAD13989,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13990,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13992,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13993,714,-103.419008,25.518614,Cueva Candelaria,C1b,,,,,,,,
ACAD13994,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD10709,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,C1b,,,,,,,,
ACAD10713,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,B2,,,,,,,,
ACAD10717,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,C1b,,,,,,,,
ACAD10720,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,B2b,,,,,,,,
ACAD10722,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,D1,,,,,,,,
ACAD10725,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,C1b,,,,,,,,
ACAD10726,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,B2b,,,,,,,,
ACAD10729,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,B2,,,,,,,,
ACAD10730,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,B2,,,,,,,,
ACAD10731,744,-77.033036,-12.110281,Huaca Pucllana Ychsma,C1b,,,,,,,,
