Name,Age,Lon,Lat,Site,Haplogroup,,,,,,,,
ACAD6320,539,-68.529569,-24.720314,Llullaillaco Inca,D1,,,,,,,,
ACAD6322,539,-68.529569,-24.720314,Llullaillaco Inca,C1b,,,,,,,,
ACAD13989,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13990,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13992,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
ACAD13993,714,-103.419008,25.518614,Cueva Candelaria,C1b,,,,,,,,
ACAD13994,714,-103.419008,25.518614,Cueva Candelaria,B2,,,,,,,,
PO3,750,-69.329019,-20.489014,Pica Ocho,A2,,,,,,,,
PO4,750,-69.329019,-20.489014,Pica Ocho,A2,,,,,,,,
ACAD11116,776,-69.329019,-20.489014,Pica Tarapaca,B2,,,,,,,,
ACAD11118,776,-69.329019,-20.489014,Pica Tarapaca,B2,,,,,,,,
ACAD11121,776,-69.329019,-20.489014,Pica Tarapaca,B2,,,,,,,,
ACAD13237,1314,-68.7,-16.55,Tiwanaku,B2,,,,,,,,
ACAD13240,1314,-68.7,-16.55,Tiwanaku,B2,,,,,,,,
ACAD13241,1314,-68.7,-16.55,Tiwanaku,C1c,,,,,,,,
ACAD13245,1314,-68.7,-16.55,Tiwanaku,C1star,,,,,,,,
ACAD13247,1314,-68.7,-16.55,Tiwanaku,A2,,,,,,,,
ACAD13264,1314,-68.7,-16.55,Tiwanaku,B2,,,,,,,,
ACAD13272,1314,-68.7,-16.55,Tiwanaku,B2,,,,,,,,
ACAD13275,1314,-68.7,-16.55,Tiwanaku,B2,,,,,,,,
ACAD13279,1314,-68.7,-16.55,Tiwanaku,C1b,,,,,,,,
CS1,3750,-69.329019,-20.489014,Camarones,A2,,,,,,,,
ASOB9S14,7755,-60.744167,-38.360556,Arroyo Seco 2,D1,,,,,,,,
ASOB2S19,7760,-60.244167,-38.360556,Arroyo Seco 2,A2,,,,,,,,
Anzick1,12632,-110.657901,45.974618,Anzick,D4h3a,,,,,,,,
Caleta Huelen,777,-70.05,-19.973,Late Intermediate,,Late Intermediate,,,,,,,
Los Rieles,8005,-71.682,-33.263,Middle Archaic,,5990calBCE,5990,BC,5990,BC,8005,8005,8005
Conchali 1,7457,-71.623,-34.659,Middle Archaic,,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457
Conchali 2,7457,-71.623,-34.659,Middle Archaic,,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457
Arroyo Seco 2 1,7732,-60.244167,-37.960556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Arroyo Seco 2 2,7732,-60.744167,-38.360556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Arroyo Seco 2 3,7732,-60.244167,-38.860556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Jabuticabeira 1,3000,-49.098,-28.634,,,2890,,,,,,,
Jabuticabeira 2,3000,-49.598,-28.634,,,,,,,,,,
Jabuticabeira 3,3000,-48.098,-28.634,,,,,,,,,,
Jabuticabeira 4,3000,-49.098,-28.134,,,,,,,,,,
Jabuticabeira 5,3000,-49.098,-29.134,,,,,,,,,,
1,11500,-152.598,64.36,Upward Sun River,B2,,,,,,,,
1,11500,-152.598,64.36,Upward Sun River,C1b,,,,,,,,
1,2535,-130.617,54.293,Lucy Islands,A2ag,2770,calBP,2300,calBP,,,2535,
1,2770,-130.617,54.293,Lucy Islands,A2ah,5130,calBP,4580,calBP,,,4855,
1,5675,-130.617,54.293,Lucy Islands,A2ag,5870,calBP,5480,calBP,,,5675,
1,6075,-130.617,54.293,Lucy Islands,D4h3a7,6260,calBP,5890,calBP,,,6075,
