Number,Age,Lon,Lat,Site,,,,,,,,,,,
10,1314,-68.7,-16.55,Tiwanaku,,,,,,,,,,,
5,7457,-71.623,-34.659,Middle Archaic,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457,,,
5,714,-103.419008,25.518614,Cueva Candelaria,,,,,,,,,,-103.419008,25.518614
5,750,-68.329019,-20.489014,Pica Ocho,,,,,,,,,,,
2,539,-68.529569,-24.720314,Llullaillaco Inca,,,,,,,,,,,
1,777,-72.05,-19.973,Late Intermediate,Late Intermediate,,,,,,,,,,
1,3750,-69.029019,-20.889014,Camarones,,,,,,,,,,,
5,7755,-60.744167,-38.360556,Arroyo Seco 2,,,,,,,,,,,
1,12632,-110.657901,45.974618,Anzick,,,,,,,,,,,
2,8005,-71.682,-33.263,Middle Archaic,5990calBCE,5990,BC,5990,BC,8005,8005,8005,,,
5,3000,-49.098,-28.634,,2890,,,,,,,,,,
2,11500,-152.598,64.36,Upward Sun River,,,,,,,,,,,
1,2535,-134.117,54.293,Lucy Islands,,2770,calBP,2300,calBP,,,2535,,,
1,2770,-134.117,51.993,Lucy Islands,,5130,calBP,4580,calBP,,,4855,,,
1,5675,-129.617,51.793,Lucy Islands,,5870,calBP,5480,calBP,,,5675,,,
1,6075,-129.617,54.093,Lucy Islands,,6260,calBP,5890,calBP,,,6075,,,
