Number,Age,Lon,Lat,Site,,,,,,,,,,,
11,509,-76.59964,-12.203675,Pueblo Viejo Inca,,,,,,,,,,-76.79964,-12.203675
2,8536,-76.728817,-10.319669,Lauricocha LAU1,,,,,,,,,,-76.728817,-10.319669
2,539,-68.529569,-24.720314,Llullaillaco Inca,,,,,,,,,,-68.529569,-24.720314
2,550,-71.935533,-13.531568,San Sebastian,,,,,,,,,,-71.935533,-13.531568
5,714,-103.419008,25.518614,Cueva Candelaria,,,,,,,,,,-103.419008,25.518614
2,750,-69.329019,-20.489014,Pica Ocho,,,,,,,,,,-69.329019,-20.489014
3,776,-69.329019,-20.489014,Pica Tarapaca,,,,,,,,,,-69.329019,-20.489014
1,800,-74.859383,-14.255611,Chullpa Botigiriayocc,,,,,,,,,,-74.859383,-14.255611
1,1164,-74.559383,-14.255611,Chullpa Botigiriayocc,,,,,,,,,,-74.859383,-14.255611
13,1639,-77.033036,-12.410281,Huaca Pucllana Lima,,,,,,,,,,-77.033036,-12.110281
10,1264,-77.833036,-12.210281,Huaca Pucllana Wari,,,,,,,,,,-77.033036,-12.110281
11,744,-77.133036,-12.010281,Huaca Pucllana Ychsma,,,,,,,,,,-77.033036,-12.110281
7,779,-77.15,-11.633333,Pasamayo Chancay,,,,,,,,,,-77.15,-11.733333
10,1314,-68.7,-16.55,Tiwanaku,,,,,,,,,,-68.7,-16.55
1,1632,-75.385297,-14.333844,Palpa,,,,,,,,,,-75.185297,-14.533844
1,1650,-75.185297,-14.533844,Jauranga,,,,,,,,,,-75.185297,-14.533844
1,1900,-74.985297,-14.733844,Los Molinos,,,,,,,,,,-75.185297,-14.533844
1,3572,-76.928817,-10.119669,Lauricocha LAU3,,,,,,,,,,-76.728817,-10.319669
1,3750,-69.329019,-20.489014,Camarones,,,,,,,,,,-69.329019,-20.489014
3,4000,-78.150019,-8.466556,La Galgada,,,,,,,,,,-78.150019,-8.466556
1,8650,-76.528817,-9.819669,Lauricocha LAU5,,,,,,,,,,-76.728817,-10.319669
1,5921,-76.528817,-10.119669,Lauricocha LAU4,,,,,,,,,,-76.728817,-10.319669
5,7755,-60.744167,-38.360556,Arroyo Seco 2,,,,,,,,,,-60.744167,-38.360556
1,12632,-110.657901,45.974618,Anzick,,,,,,,,,,-110.657901,45.974618
1,1215,-79.875,-6.829,Middle Horizon,Middle Horizon,600,AD,1000,AD,1415,1015,1215,,-79.675,-7.029
1,4165,-79.475,-6.829,Late Archaic,,,,,,,,,,-79.675,-7.029
1,1615,-79.675,-7.029,Early Intermediate,Early Intermediate,200,AD,600,AD,1815,1415,1615,,-79.675,-7.029
1,777,-79.489,-7.422,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-79.489,-7.422
1,1400,-79.8894,-7.3286,Huaca Prieta,,,,,,,,,,-79.5894,-7.3286
1,1215,-77.412,-8.765,Middle Horizon,Middle Horizon,600,AD,1000,AD,1415,1015,1215,,-77.712,-8.765
1,777,-77.712,-8.765,Late Intermediate,,,,,,,,,,-77.712,-8.765
1,1215,-78.153,-10.067,Middle Horizon,Middle Horizon,600,AD,1000,AD,1415,1015,1215,,-78.153,-10.067
1,3015,-76.31,-13.862,Formative Period,Formative,1800,BC,200,BC,3815,2215,3015,,-76.31,-13.862
1,1215,-75.445,-13.707,Middle Horizon,Middle Horizon,600,AD,1000,AD,1415,1015,1215,,-75.745,-13.707
1,1615,-75.745,-13.707,Early Intermediate,Early Intermediate,200,AD,600,AD,1815,1415,1615,,-75.745,-13.707
1,777,-73.494,-13.433,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-73.494,-13.433
1,510,-73.173,-13.824,Late Horizon,Late Horizon,1476,AD,1534,AD,539,481,510,,-73.173,-13.824
1,777,-73.441,-14.089,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-73.441,-14.089
1,777,-75.452,-14.938,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-75.452,-14.938
1,777,-75.185297,-14.533844,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-75.185297,-14.533844
1,777,-74.434,-14.487,Late Intermediate,Late Intermediate,1000,AD,1476,AD,1015,539,777,,-74.734,-14.487
1,1215,-74.734,-14.487,Middle Horizon,Middle Horizon,600,AD,1000,AD,1415,1015,1215,,-74.734,-14.487
1,777,-70.05,-19.973,Late Intermediate,Late Intermediate,,,,,,,,,-70.05,-19.973
1,8005,-71.682,-33.263,Middle Archaic,5990calBCE,5990,BC,5990,BC,8005,8005,8005,,-71.682,-33.263
2,7457,-71.623,-34.659,Middle Archaic,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457,,-71.623,-34.659
5,3000,-49.098,-28.634,,2890,,,,,,,,,-49.098,-28.634
2,11500,-152.598,64.36,Upward Sun River,,,,,,,,,,,
1,2535,-130.617,54.293,Lucy Islands,,2770,calBP,2300,calBP,,,2535,,,
1,2770,-130.617,54.293,Lucy Islands,,5130,calBP,4580,calBP,,,4855,,,
1,5675,-130.617,54.293,Lucy Islands,,5870,calBP,5480,calBP,,,5675,,,
1,6075,-130.617,54.293,Lucy Islands,,6260,calBP,5890,calBP,,,6075,,,
