name,pop,cov,lat,lon
RISE471,OTHER,0.101,58.535,15.046
RISE175,SA,0.104,58.535,15.046
RISE179,SA,0.045,58.535,15.046
RISE210,SA,0.046,58.535,15.046
RISE154,SA,0.178,58.535,15.046
RISE150,SA,2.653,58.535,15.046
RISE109,SA,0.215,48.780,9.180
T1_M229_UH,EF,0.472,48.780,9.180
T2_UP,EF,0.048,48.780,9.180
T4_SSK15,OTHER,0.038,51.890,11.040
M15_M15-2_M15-2_UF,EF,0.221,51.890,11.040
M24_UAJK16,EF,0.039,51.890,11.040
BAR2_L11-213,EF,9.431,51.420,11.680
BAR6_L11-439,EF,6.948,51.660,11.530
BAR20_M13-170,EF,9.765,51.890,11.040
L11-216,EF,2.248,51.890,11.040
M10-275,EF,2.390,51.820,10.910
M11-363,EF,7.785,51.450,11.540
L11-322,EF,8.465,61.650,35.650
L11-215,OTHER,1.571,51.890,11.040
BAR26_M10-76,EF,2.865,51.890,11.040
BAR271_M10-271,EF,2.125,51.420,11.680
BAR99_M10-352,EF,2.994,51.420,11.680
L11-S-488,EF,0.827,51.420,11.680
M11-351,EF,0.331,51.450,11.540
M11-352a,EF,1.560,51.450,11.540
M11-354,EF,0.550,51.790,11.140
M11-S-350,EF,1.135,51.790,11.140
M13-72,EF,2.507,51.420,11.680
L12-393,EF,2.903,51.420,11.680
L12-502,EF,2.803,51.420,11.680
L14-200,EF,9.396,51.420,11.680
M11-59,EF,3.098,51.450,11.630
Mina3,EF,0.377,52.220,48.100
Mina4,EF,3.947,53.400,50.400
Mina6,EF,1.363,53.310,51.150
Mina18,EF,13.608,51.790,11.140
MIR5_MIR6,EF,0.158,51.820,10.910
MIR1,EF,0.241,51.420,11.680
MIR2,EF,0.977,46.200,18.700
MIR11,OTHER,0.147,46.400,18.740
MIR13,EF,0.104,61.650,35.650
MIR14,EF,0.941,52.420,48.240
MIR17,EF,0.220,48.100,54.440
MIR18,EF,1.575,53.140,50.010
MIR19,EF,0.060,53.140,50.010
MIR21,EF,0.114,53.169,50.284
MIR22,EF,2.792,52.430,51.160
MIR24,OTHER,0.063,53.030,50.390
MIR25,EF,0.733,53.380,50.390
MIR26,EF,0.268,53.030,50.390
Troc1,EF,0.686,53.030,50.390
Troc3,EF,1.305,53.030,50.390
Troc4,OTHER,0.074,53.030,50.390
Troc5,EF,13.785,51.270,58.180
Troc7,EF,1.572,53.340,50.340
LB1,HG,19.536,49.967,44.667
RISE486,EF,0.289,41.252,-2.326
RISE487,EF,0.223,41.252,-2.326
RISE489,EF,0.548,41.252,-2.326
BAM25,EF,0.224,41.252,-2.326
RISE371,SA,0.045,42.500,0.500
RISE373,SA,0.282,42.500,0.500
RISE374,SA,0.149,42.500,0.500
RISE349,SA,0.082,42.500,0.500
SZEH4,EF,0.066,42.500,0.500
RISE546,SA,0.151,53.169,50.284
RISE547,SA,0.729,53.169,50.284
RISE548,SA,1.089,53.080,50.360
RISE550,SA,0.521,52.540,50.500
RISE240,SA,0.201,52.540,50.500
RISE552,SA,2.839,53.120,48.370
Iceman,EF,10.441,53.380,50.390
HUNG347_NE7,EF,4.853,53.080,50.360
HUNG352_NE6,EF,5.246,53.080,50.360
HUNG353_CO1,EF,4.563,53.660,50.670
HUNG372_NE5,EF,4.246,52.220,48.100
HUNG370_BR1,SA,4.682,52.220,48.100
HUNG276_KO2,EF,0.914,53.380,50.380
RISE247,SA,0.273,53.380,50.390
RISE254,SA,0.038,53.740,49.380
RISE479,SA,1.400,52.300,52.050
RISE480,SA,0.148,53.380,50.380
RISE483,SA,0.121,53.100,51.130
RISE484,SA,0.152,51.273,11.656
HUNG302_NE2,EF,4.879,51.520,11.852
HUNG381_BR2,SA,1.332,51.790,11.140
PF839_1198_NE4,EF,3.494,51.790,11.140
PF325_NE1,EF,1.517,42.333,-3.500
HUNG345a_KO1,HG,5.103,42.911,-5.378
SVP12,SA,8.202,51.890,11.040
RISE559,OTHER,0.127,40.300,29.567
RISE560,OTHER,0.048,40.300,29.567
